0	1	2		total		moyenne	max	min
0,6666667	0,6666667	1,111111		2,4444444				
1	0,6666667	0,9090909		2,5757576				
1,428571	0,6666667	0		2,0952377				
1,111111	0,4	1		2,511111				
0,9090909	1	0,6666667		2,5757576				
0	1,428571	1		2,428571				
0,4	1,111111	0,6666667		2,1777777				
0,5	0,9090909	1		2,4090909				
0,3333333	0	1,428571		1,7619043				
0,4	0,6666667	1,111111		2,1777777				
0,4	0	0,9090909		1,3090909				
0,6666667	1	0,7692308		2,4358975				
0,4	1,428571	0		1,828571				
0,5	1,111111	0,6666667		2,2777777				
1	0,9090909	0,6666667		2,5757576				
1,428571	0	0,5		1,928571				
1,111111	1	0,6666667		2,7777777				
0,9090909	1	0,4		2,3090909				
0	1,428571	0,5		1,928571				
0,4	1,111111	0,4		1,911111				
0,4	0,9090909	0,4		1,7090909				
0,5	0,7692308	0,5		1,7692308				
0	0,6666667	0,5		1,1666667				
0	0,5882353	0,6666667		1,254902				
1	0	1,428571		2,428571				
0,6666667	0,6666667	1,111111		2,4444444				
0,6666667	0	0,9090909		1,5757576				
0,6666667	1	0,7692308		2,4358975				
0,5	1,428571	0		1,928571				
1	1,111111	0,5		2,611111				
0	0,9090909	0,6666667		1,5757576				
0	0,7692308	0,4		1,1692308				
1	0,6666667	0,6666667		2,3333334				
1,428571	0	0,3333333		1,7619043				
1,111111	0,6666667	0,4		2,1777777				
0,9090909	0,6666667	0,6666667		2,2424243				
0,7692308	0,6666667	0,6666667		2,1025642				
0,6666667	0,5	0,5		1,6666667				
0,5882353	0,5	0,5		1,5882353				
0,5263158	0,5	0,6666667		1,6929825				
0	0,5	1,428571		1,928571				
0,5	0,4	1,111111		2,011111				
0	0,5	0,9090909		1,4090909				
0,6666667	0,5	0,7692308		1,9358975				
0,6666667	0,6666667	0,6666667		2,0000001				
0,5	0	0,5882353		1,0882353				
0,4	0	0,5263158		0,9263158				
0,4	0	0,4761905		0,8761905				
0,6666667	0,5	0,4347826		1,6014493				
1,428571	0,5	0		1,928571				
1,111111	0	1		2,111111				
0,9090909	1	0,6666667		2,5757576				
0	1,428571	0,5		1,928571				
0,5	1,111111	1		2,611111				
0,6666667	0,9090909	0,5		2,0757576				
1	0,7692308	0,6666667		2,4358975				
1,428571	0	0,4		1,828571				
1,111111	0,6666667	0,3333333		2,111111				
0,9090909	0,6666667	0,3333333		1,9090909				
0,7692308	0,5	0,5		1,7692308				
0,6666667	0	0,5		1,1666667				
0,5882353	0	0,5		1,0882353				
0,5263158	0,6666667	0,5		1,6929825				
0	1,428571	0,6666667		2,0952377				
0,6666667	1,111111	0,4		2,1777777				
0,6666667	0,9090909	0,4		1,9757576				
0,6666667	0,7692308	0,4		1,8358975				
0,6666667	0,6666667	0,5		1,8333334				
1	0,5882353	0,5		2,0882353				
1,428571	0	1		2,428571				
1,111111	1	1		3,111111				
0,9090909	0	0,4		1,3090909				
0,7692308	0,6666667	0,5		1,9358975				
0,6666667	0,5	0,5		1,6666667				
0,5882353	0,5	0,6666667		1,754902				
0	0,4	1,428571		1,828571				
0,5	0,4	1,111111		2,011111				
0,4	0,4	0,9090909		1,7090909				
0,4	0,5	0,7692308		1,6692308				
1	0,4	0,6666667		2,0666667				
