2;0000001110111101;4;0101001010111001;8;0100010010111101
2;0000001110111101;4;0101001010111001;8;0100010010111101
2;0000001110111101;4;0101001010111001;8;0100010010111101
2;0000001110111101;4;0101001010111001;8;0100010010111101
2;0000001110111101;4;0101001010111001;8;0100010010111101
2;0000001110111101;5;0101000100110001;7;0100010010110001
2;0000001110111101;5;0101000100110001;7;0100010010110001
2;0000001110111101;5;0101000100110001;7;0100010010110001
2;0000001110111101;5;0101000100110001;7;0100010010110001
1;0000001101000011;5;0101000100110001;7;0100010010110001
1;0000001101000011;3;1001000100111001;7;0100010010110001
1;0000001101000011;3;1001000100111001;7;0100010010110001
1;0000001101000011;3;1001000100111001;0;1110010010110001
1;0000001101000011;3;1001000100111001;0;1110010010110001
1;0000001101000011;5;0001000100110001;0;1110010010110001
1;0000001101000011;5;0001000100110001;0;1110010010110001
1;0000001101000011;5;0001000100110001;0;1110010010110001
2;0000001101110011;5;0001000100110001;0;1110010010110001
2;0000001101110011;3;1001001100111001;0;1110010010110001
2;0000001101110011;3;1001001100111001;8;0110010010111101
2;0000001101110011;3;1001001100111001;8;0110010010111101
2;0000001101110011;3;1001001100111001;8;0110010010111101
2;0000001101110011;3;1001001100111001;8;0110010010111101
2;0000001101110011;3;1001001100111001;8;0110010010111101
2;0000001101110011;3;1001001100111001;8;0110010010111101
1;0000010011110011;4;1011001100111101;8;0110010010111101
1;0000010011110011;4;1011001100111101;8;0110010010111101
1;0000010011110011;4;1011001100111101;8;0110010010111101
1;0000010011110011;4;1011001100111101;0;0110011101001101
1;0000010011110011;4;1011001100111101;0;0110011101001101
1;0000010011110011;4;1011001100111101;0;0110011101001101
7;0000101010110011;4;1011001100111101;0;0110011101001101
7;0000101010110011;4;1011001100111101;0;0110011101001101
7;0000101010110011;5;0011001101111110;0;0110011101001101
7;0000101010110011;5;0011001101111110;0;0110011101001101
7;0000101010110011;5;0011001101111110;0;0110011101001101
7;0000101010110011;5;0011001101111110;0;0110011101001101
7;0000101010110011;5;0011001101111110;8;1110011100110011
7;0000101010110011;5;0011001101111110;8;1110011100110011
7;0000101010110011;5;0011001101111110;8;1110011100110011
2;0000101011010011;4;0011001101100000;8;1110011100110011
2;0000101011010011;4;0011001101100000;8;1110011100110011
2;0000101011010011;4;0011001101100000;8;1110011100110011
2;0000101011010011;4;0011001101100000;8;1110011100110011
2;0000101011010011;5;0011001110100000;8;1110011100110011
2;0000101011010011;5;0011001110100000;3;1110011100001110
2;0000101011010011;5;0011001110100000;3;1110011100001110
2;0000101011010011;5;0011001110100000;3;1110011100001110
2;0000101011010011;4;0011001101100000;3;1110011100001110
6;0001101011010000;4;0011001101100000;3;1110011100001110
6;0001101011010000;4;0011001101100000;3;1110011100001110
6;0001101011010000;4;0011001101100000;3;1110011100001110
6;0001101011010000;4;0011001101100000;3;1110011100001110
2;0000101011010011;4;0011001101100000;0;1111100100001110
2;0000101011010011;4;0011001101100000;0;1111100100001110
2;0000101011010011;4;0011001101100000;0;1111100100001110
2;0000101011010011;4;0011001101100000;0;1111100100001110
2;0000101011010011;4;0011001101100000;0;1111100100001110
2;0000101011010011;5;0011001101011100;0;1111100100001110
2;0000101011010011;5;0011001101011100;0;1111100100001110
2;0000101011010011;5;0011001101011100;3;1111100011001110
2;0000101011010011;5;0011001101011100;3;1111100011001110
2;0000101011010011;5;0011001101011100;3;1111100011001110
2;0000101011010011;5;0011001101011100;3;1111100011001110
2;0000101011010011;5;0011001101011100;1;1111111011101110
2;0000101011010011;5;0011001101011100;1;1111111011101110
2;0000101011010011;5;0011001101011100;1;1111111011101110
6;0000101011011111;5;0011001101011100;1;1111111011101110
6;0000101011011111;5;0011001101011100;1;1111111011101110
6;0000101011011111;5;0011001101011100;1;1111111011101110
6;0000101011011111;5;0011001101011100;1;1111111011101110
6;0000101011011111;5;0011001101011100;1;1111111011101110
